04:08:23, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:09:03, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:09:03, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:09:03, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:09:32, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:09:33, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:09:33, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:09:53, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:10:03, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:10:03, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:10:43, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:10:43, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:10:44, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:10:46, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:10:53, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:10:53, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:11:37, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:11:38, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:11:39, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:11:39, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:12:18, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:12:19, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:12:28, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:12:29, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:12:29, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:12:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:12:44, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:12:44, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:13:19, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:13:19, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:13:19, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:13:19, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:13:34, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:13:34, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:13:35, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:14:09, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:14:09, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:14:34, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:15:02, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:15:04, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:15:05, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:15:05, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:15:34, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:15:35, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:15:35, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:15:53, 00:23:D4:6A:A4:E2, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
04:15:54, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:15:55, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:15:55, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:16:00, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:16:00, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:16:00, 00:23:D4:6A:A4:E2, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
