Service discovery failed DEVICE:qwerty [6 Mar 2011 12:00:35 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 12:16:23 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 12:27:48 GMT]
Connection timed out DEVICE:HTC Dream [6 Mar 2011 13:34:49 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 13:45:39 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 14:22:50 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 14:22:55 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 15:27:31 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 15:27:36 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 15:36:44 GMT]
HTC Dream cancled election initiation [6 Mar 2011 15:36:49 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 16:06:49 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 16:29:51 GMT]
Connection timed out DEVICE:qwerty [6 Mar 2011 16:41:50 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 16:41:59 GMT]
ty cancled election initiation [6 Mar 2011 16:50:49 GMT]
ty cancled election initiation [6 Mar 2011 17:30:33 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 17:48:59 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 18:00:23 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 18:00:29 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 18:11:55 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 18:39:32 GMT]
qwerty cancled election initiation [6 Mar 2011 18:55:23 GMT]
ty cancled election initiation [6 Mar 2011 18:55:23 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 19:15:41 GMT]
qwerty cancled election initiation [6 Mar 2011 19:15:41 GMT]
qwerty cancled election initiation [6 Mar 2011 19:20:10 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 19:29:20 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 20:10:32 GMT]
qwerty cancled election initiation [6 Mar 2011 20:19:45 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 23:00:14 GMT]
Connection timed out DEVICE:qwerty [6 Mar 2011 23:39:24 GMT]
Service discovery failed DEVICE:ty [6 Mar 2011 23:43:57 GMT]
Connection timed out DEVICE:qwerty [6 Mar 2011 23:44:27 GMT]
Connection timed out DEVICE:qwerty [6 Mar 2011 23:49:16 GMT]
07 cancled election initiation [7 Mar 2011 00:24:42 GMT]
ty cancled election initiation [7 Mar 2011 00:24:42 GMT]
Device or resource busy DEVICE:11 [7 Mar 2011 00:35:06 GMT]
Device or resource busy DEVICE:HTC Dream [7 Mar 2011 00:35:10 GMT]
Device or resource busy DEVICE:zxc [7 Mar 2011 00:35:11 GMT]
Device or resource busy DEVICE:13 [7 Mar 2011 00:35:12 GMT]
Service discovery failed DEVICE:ty [7 Mar 2011 01:18:05 GMT]
Service discovery failed DEVICE:07 [7 Mar 2011 01:18:10 GMT]
Service discovery failed DEVICE:zxc [7 Mar 2011 01:18:27 GMT]
13 cancled election initiation [7 Mar 2011 01:18:27 GMT]
Service discovery failed DEVICE:11 [7 Mar 2011 01:47:09 GMT]
Service discovery failed DEVICE:13 [7 Mar 2011 02:20:30 GMT]
