01:38:49, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:38:49, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:40:12, 00:23:D4:68:E1:E9, 192.168.1.6, true
01:40:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:40:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:40:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:40:12, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:49:52, 00:23:D4:68:E1:E9, GARBAGE, true
02:01:08, 00:23:D4:68:E1:E9, GARBAGE, true
02:11:40, 00:23:D4:68:E1:E9, 192.168.1.9, true
02:11:40, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:11:40, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:11:40, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:11:40, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:12:22, 00:23:D4:68:E1:E9, 192.168.1.9, true
02:12:22, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:12:22, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:12:22, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:12:22, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:12:26, 00:23:D4:68:E1:E9, GARBAGE, true
02:22:09, 00:23:D4:68:E1:E9, 192.168.1.3, true
02:22:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:22:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:31:53, 00:23:D4:68:E1:E9, 192.168.1.6, true
02:31:53, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:31:54, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:31:54, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:31:54, 00:23:D4:68:E1:E9, GARBAGE IP, true
02:36:03, 00:23:D4:68:E1:E9, GARBAGE, true
02:43:51, 00:23:D4:68:E1:E9, GARBAGE, true
02:53:15, 00:23:D4:68:E1:E9, GARBAGE, true
03:02:25, 00:23:D4:68:E1:E9, GARBAGE, true
03:10:16, 00:23:D4:68:E1:E9, GARBAGE, true
03:19:26, 00:23:D4:68:E1:E9, GARBAGE, true
03:22:27, 00:23:D4:68:E1:E9, 192.168.1.12, true
03:22:27, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:22:27, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:22:27, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:23:09, 00:23:D4:68:E1:E9, 192.168.1.12, true
03:23:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:23:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:23:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:23:51, 00:23:D4:68:E1:E9, 192.168.1.12, true
03:23:51, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:23:51, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:23:51, 00:23:D4:68:E1:E9, GARBAGE IP, true
03:28:37, 00:23:D4:68:E1:E9, GARBAGE, true
