05:44:09, 00:23:D4:6A:87:DE, 192.168.1.3, true
05:44:09, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:44:09, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:44:09, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:47:34, 00:23:D4:6A:87:DE, GARBAGE, true
05:49:53, 00:23:D4:6A:87:DE, 192.168.1.3, true
05:49:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:49:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:49:53, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:53:22, 00:23:D4:6A:87:DE, 192.168.1.11, true
05:53:22, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:53:22, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:54:18, 00:23:D4:6A:87:DE, GARBAGE, true
05:58:39, 00:23:D4:6A:87:DE, 192.168.1.6, true
05:58:39, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:01:22, 00:23:D4:6A:87:DE, GARBAGE, true
06:03:38, 00:23:D4:6A:87:DE, 192.168.1.8, true
06:03:39, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:04:18, 00:23:D4:6A:87:DE, 192.168.1.2, true
06:04:18, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:04:18, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:05:04, 00:23:D4:6A:87:DE, 192.168.1.2, true
06:05:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:10:36, 00:23:D4:6A:87:DE, GARBAGE, true
06:15:12, 00:23:D4:6A:87:DE, GARBAGE, true
06:17:29, 00:23:D4:6A:87:DE, 192.168.1.5, true
06:17:29, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:17:29, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:20:13, 00:23:D4:6A:87:DE, 192.168.1.5, true
06:20:58, 00:23:D4:6A:87:DE, 192.168.1.5, true
06:24:25, 00:23:D4:6A:87:DE, GARBAGE, true
06:26:42, 00:23:D4:6A:87:DE, 192.168.1.8, true
06:26:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:26:42, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:28:07, 00:23:D4:6A:87:DE, 192.168.1.6, true
06:28:48, 00:23:D4:6A:87:DE, 192.168.1.7, true
06:28:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:33:35, 00:23:D4:6A:87:DE, GARBAGE, true
06:38:16, 00:23:D4:6A:87:DE, GARBAGE, true
06:42:45, 00:23:D4:6A:87:DE, GARBAGE, true
06:46:29, 00:23:D4:6A:87:DE, 192.168.1.5, true
06:47:10, 00:23:D4:6A:87:DE, 192.168.1.2, true
06:47:10, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:47:10, 00:23:D4:6A:87:DE, GARBAGE IP, true
06:51:59, 00:23:D4:6A:87:DE, GARBAGE, true
06:56:34, 00:23:D4:6A:87:DE, GARBAGE, true
07:00:15, 00:23:D4:6A:87:DE, 192.168.1.6, true
07:00:15, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:00:15, 00:23:D4:6A:87:DE, GARBAGE IP, true
07:00:56, 00:23:D4:6A:87:DE, 192.168.1.5, true
07:01:41, 00:23:D4:6A:87:DE, 192.168.1.10, true
07:01:41, 00:23:D4:6A:87:DE, GARBAGE IP, true
