18:58:00 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:03:10, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4150
UConnect Schedule  prime=7
19:03:10 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:06:27, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4150, active bt peers=0, potential bt peers=6
UConnect Schedule  prime=7
19:06:27 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:19:33, 18:13:05, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4126, active bt peers=0, potential bt peers=6
19:19:38, 18:13:10, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4150, active bt peers=0, potential bt peers=6
19:19:38, 18:13:11, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4150, active bt peers=0, potential bt peers=6
19:23:02, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4146
UConnect Schedule  prime=7
19:23:02 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:29:01, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4151
UConnect Schedule  prime=7
19:29:01 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:44:08, 18:15:06, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4141, active bt peers=0, potential bt peers=6
19:44:15, 18:15:13, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4128, active bt peers=0, potential bt peers=6
19:44:15, 18:15:14, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4128, active bt peers=0, potential bt peers=6
19:44:44, 18:15:42, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4139, active bt peers=0, potential bt peers=6
19:44:46, 18:15:45, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4136, active bt peers=0, potential bt peers=6
19:44:52, 18:15:51, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4109, active bt peers=0, potential bt peers=6
19:44:59, 18:15:58, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4104, active bt peers=0, potential bt peers=6
19:45:00, 18:15:58, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4104, active bt peers=0, potential bt peers=6
19:47:14, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4104
UConnect Schedule  prime=7
19:47:22 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:54:58, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4096, active bt peers=0, potential bt peers=6
UConnect Schedule  prime=7
19:55:04 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:57:23, 18:02:25, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4096, active bt peers=0, potential bt peers=6
19:57:26, 18:02:27, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4104, active bt peers=0, potential bt peers=6
19:57:26, 18:02:28, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4104, active bt peers=0, potential bt peers=6
20:05:26, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4081
UConnect Schedule  prime=7
20:05:32 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:04:35, 18:00:00, Battery: level = 50, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3920
75-50 = 10:04:35UConnect Schedule  prime=7
10:04:35 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:05:04, 18:00:29, Battery: level = 51, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3915, active bt peers=3, potential bt peers=6
10:06:04, 18:01:29, Battery: level = 52, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3928, active bt peers=3, potential bt peers=6
10:13:24, 18:00:00, Battery: level = 54, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3841, active bt peers=3, potential bt peers=6
UConnect Schedule  prime=7
10:13:25 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:13:34, 18:00:09, Battery: level = 55, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3828, active bt peers=1, potential bt peers=6
10:17:18, 18:00:00, Battery: level = 55, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3828, active bt peers=1, potential bt peers=6
UConnect Schedule  prime=7
10:17:18 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
