02:25:58, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:26:48, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:26:48, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:26:48, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:26:49, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:26:53, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:26:53, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:26:53, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:26:54, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:35:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:35:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, false, fresh
02:35:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
02:35:27, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, wifi_network, false, fresh
02:46:19, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:46:19, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:46:19, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:49:00, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
02:49:00, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
02:55:51, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:55:51, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:56:49, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
02:56:49, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
03:06:42, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:06:42, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
03:08:50, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:08:50, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
03:09:47, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:09:47, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
03:09:47, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, true, update
03:09:47, 00:23:D4:6A:D1:B8, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:25:55, 00:23:D4:6A:D1:B8, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
03:25:55, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:25:55, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:25:56, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:35:38, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:36:31, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
03:36:31, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, wifi_network, false, fresh
03:39:12, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, true, update
03:39:12, 00:23:D4:6A:D1:B8, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
03:55:20, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:55:20, 00:23:D4:6A:D1:B8, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
03:55:20, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:55:20, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
03:57:53, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
03:57:53, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
03:59:16, 00:23:D4:6A:D1:B8, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
03:59:16, 00:23:D4:6A:D1:B8, 00:23:D4:6A:F5:43, wifi_network, false, fresh
04:13:19, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:13:19, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:18:36, 00:23:D4:6A:D1:B8, 00:23:D4:6A:BB:92, bluetooth_network, true, update
04:18:36, 00:23:D4:6A:D1:B8, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:18:54, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:20:14, 00:23:D4:6A:D1:B8, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:22:31, 00:23:D4:6A:D1:B8, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:22:32, 00:23:D4:6A:D1:B8, 00:23:D4:68:E1:E9, wifi_network, false, fresh
