10:48:48, 00:23:D4:6A:22:09, GARBAGE, true
10:53:17, 00:23:D4:6A:22:09, GARBAGE, true
10:56:07, 00:23:D4:6A:22:09, GARBAGE, true
11:06:03, 00:23:D4:6A:22:09, GARBAGE, true
11:08:42, 00:23:D4:6A:22:09, GARBAGE, true
11:08:46, 00:23:D4:6A:22:09, 192.168.1.7, true
11:08:46, 00:23:D4:6A:22:09, GARBAGE IP, true
11:08:46, 00:23:D4:6A:22:09, GARBAGE IP, true
11:08:46, 00:23:D4:6A:22:09, GARBAGE IP, true
11:08:46, 00:23:D4:6A:22:09, GARBAGE IP, true
11:08:46, 00:23:D4:6A:22:09, GARBAGE IP, true
11:13:05, 00:23:D4:6A:22:09, 192.168.1.5, true
11:13:05, 00:23:D4:6A:22:09, GARBAGE IP, true
11:13:05, 00:23:D4:6A:22:09, GARBAGE IP, true
11:18:25, 00:23:D4:6A:22:09, GARBAGE, true
11:18:47, 00:23:D4:6A:22:09, GARBAGE, true
11:19:58, 00:23:D4:6A:22:09, GARBAGE, true
11:21:16, 00:23:D4:6A:22:09, GARBAGE, true
11:25:12, 00:23:D4:6A:22:09, GARBAGE, true
11:25:28, 00:23:D4:6A:22:09, GARBAGE, true
11:28:18, 00:23:D4:6A:22:09, GARBAGE, true
11:36:33, 00:23:D4:6A:22:09, GARBAGE, true
11:43:02, 00:23:D4:6A:22:09, GARBAGE, true
11:47:23, 00:23:D4:6A:22:09, GARBAGE, true
11:50:10, 00:23:D4:6A:22:09, GARBAGE, true
11:53:12, 00:23:D4:6A:22:09, GARBAGE, true
11:59:16, 00:23:D4:6A:22:09, GARBAGE, true
12:03:37, 00:23:D4:6A:22:09, GARBAGE, true
12:06:33, 00:23:D4:6A:22:09, GARBAGE, true
12:09:20, 00:23:D4:6A:22:09, GARBAGE, true
12:18:05, 00:23:D4:6A:22:09, GARBAGE, true
12:21:07, 00:23:D4:6A:22:09, GARBAGE, true
12:23:53, 00:23:D4:6A:22:09, GARBAGE, true
12:28:04, 00:23:D4:6A:22:09, GARBAGE, true
12:31:24, 00:23:D4:6A:22:09, GARBAGE, true
12:34:33, 00:23:D4:6A:22:09, GARBAGE, true
12:39:03, 00:23:D4:6A:22:09, 192.168.1.5, true
12:39:03, 00:23:D4:6A:22:09, GARBAGE IP, true
12:39:03, 00:23:D4:6A:22:09, GARBAGE IP, true
12:39:46, 00:23:D4:6A:22:09, 192.168.1.2, true
12:39:46, 00:23:D4:6A:22:09, GARBAGE IP, true
12:39:46, 00:23:D4:6A:22:09, GARBAGE IP, true
12:39:46, 00:23:D4:6A:22:09, GARBAGE IP, true
12:39:46, 00:23:D4:6A:22:09, GARBAGE IP, true
12:40:06, 00:23:D4:6A:22:09, GARBAGE, true
12:40:28, 00:23:D4:6A:22:09, 192.168.1.5, true
12:40:28, 00:23:D4:6A:22:09, GARBAGE IP, true
12:40:28, 00:23:D4:6A:22:09, GARBAGE IP, true
12:44:30, 00:23:D4:6A:22:09, GARBAGE, true
12:47:43, 00:23:D4:6A:22:09, GARBAGE, true
12:53:55, 00:23:D4:6A:22:09, GARBAGE, true
12:56:57, 00:23:D4:6A:22:09, GARBAGE, true
13:01:22, 00:23:D4:6A:22:09, GARBAGE, true
13:04:13, 00:23:D4:6A:22:09, GARBAGE, true
13:10:10, 00:23:D4:6A:22:09, GARBAGE, true
13:13:15, 00:23:D4:6A:22:09, GARBAGE, true
13:15:55, 00:23:D4:6A:22:09, GARBAGE, true
13:20:07, 00:23:D4:6A:22:09, GARBAGE, true
13:29:35, 00:23:D4:6A:22:09, GARBAGE, true
13:32:07, 00:23:D4:6A:22:09, GARBAGE, true
13:36:29, 00:23:D4:6A:22:09, GARBAGE, true
13:39:46, 00:23:D4:6A:22:09, GARBAGE, true
13:45:29, 00:23:D4:6A:22:09, GARBAGE, true
13:51:12, 00:23:D4:6A:22:09, GARBAGE, true
13:51:24, 00:23:D4:6A:22:09, 192.168.1.1, true
13:51:25, 00:23:D4:6A:22:09, GARBAGE IP, true
13:51:25, 00:23:D4:6A:22:09, GARBAGE IP, true
13:57:44, 00:23:D4:6A:22:09, GARBAGE, true
14:03:20, 00:23:D4:6A:22:09, GARBAGE, true
14:07:37, 00:23:D4:6A:22:09, GARBAGE, true
14:13:13, 00:23:D4:6A:22:09, 192.168.1.9, true
14:13:13, 00:23:D4:6A:22:09, GARBAGE IP, true
14:13:13, 00:23:D4:6A:22:09, GARBAGE IP, true
14:13:13, 00:23:D4:6A:22:09, GARBAGE IP, true
14:13:13, 00:23:D4:6A:22:09, GARBAGE IP, true
14:14:07, 00:23:D4:6A:22:09, GARBAGE, true
14:17:23, 00:23:D4:6A:22:09, GARBAGE, true
14:20:04, 00:23:D4:6A:22:09, GARBAGE, true
14:22:52, 00:23:D4:6A:22:09, GARBAGE, true
14:33:02, 00:23:D4:6A:22:09, GARBAGE, true
14:35:32, 00:23:D4:6A:22:09, GARBAGE, true
14:35:35, 00:23:D4:6A:22:09, GARBAGE, true
14:41:54, 00:23:D4:6A:22:09, 192.168.1.2, true
14:41:54, 00:23:D4:6A:22:09, GARBAGE IP, true
14:41:54, 00:23:D4:6A:22:09, GARBAGE IP, true
14:42:41, 00:23:D4:6A:22:09, 192.168.1.4, true
14:42:41, 00:23:D4:6A:22:09, GARBAGE IP, true
14:42:41, 00:23:D4:6A:22:09, GARBAGE IP, true
14:44:08, 00:23:D4:6A:22:09, GARBAGE, true
14:46:04, 00:23:D4:6A:22:09, GARBAGE, true
14:48:03, 00:23:D4:6A:22:09, GARBAGE, true
14:48:42, 00:23:D4:6A:22:09, 192.168.1.1, true
14:48:42, 00:23:D4:6A:22:09, GARBAGE IP, true
14:48:42, 00:23:D4:6A:22:09, GARBAGE IP, true
14:48:42, 00:23:D4:6A:22:09, 192.168.1.12, true
14:48:43, 00:23:D4:6A:22:09, GARBAGE IP, true
14:48:43, 00:23:D4:6A:22:09, GARBAGE IP, true
14:48:43, 00:23:D4:6A:22:09, GARBAGE IP, true
14:49:15, 00:23:D4:6A:22:09, GARBAGE, true
14:50:15, 00:23:D4:6A:22:09, 192.168.1.4, true
14:50:15, 00:23:D4:6A:22:09, GARBAGE IP, true
14:50:15, 00:23:D4:6A:22:09, GARBAGE IP, true
14:55:34, 00:23:D4:6A:22:09, GARBAGE, true
14:59:58, 00:23:D4:6A:22:09, GARBAGE, true
15:04:19, 00:23:D4:6A:22:09, GARBAGE, true
15:07:34, 00:23:D4:6A:22:09, GARBAGE, true
15:13:24, 00:23:D4:6A:22:09, GARBAGE, true
15:17:46, 00:23:D4:6A:22:09, GARBAGE, true
15:21:04, 00:23:D4:6A:22:09, GARBAGE, true
15:24:18, 00:23:D4:6A:22:09, GARBAGE, true
15:28:53, 00:23:D4:6A:22:09, 192.168.1.1, true
15:28:53, 00:23:D4:6A:22:09, GARBAGE IP, true
15:28:53, 00:23:D4:6A:22:09, GARBAGE IP, true
15:29:58, 00:23:D4:6A:22:09, GARBAGE, true
15:32:58, 00:23:D4:6A:22:09, GARBAGE, true
15:34:21, 00:23:D4:6A:22:09, GARBAGE, true
15:37:32, 00:23:D4:6A:22:09, GARBAGE, true
15:40:49, 00:23:D4:6A:22:09, GARBAGE, true
15:43:59, 00:23:D4:6A:22:09, GARBAGE, true
15:47:12, 00:23:D4:6A:22:09, GARBAGE, true
15:51:05, 00:23:D4:6A:22:09, GARBAGE, true
15:53:52, 00:23:D4:6A:22:09, GARBAGE, true
15:58:14, 00:23:D4:6A:22:09, GARBAGE, true
16:01:25, 00:23:D4:6A:22:09, GARBAGE, true
16:07:47, 00:23:D4:6A:22:09, GARBAGE, true
16:12:08, 00:23:D4:6A:22:09, GARBAGE, true
16:15:02, 00:23:D4:6A:22:09, GARBAGE, true
16:17:53, 00:23:D4:6A:22:09, GARBAGE, true
16:25:25, 00:23:D4:6A:22:09, GARBAGE, true
16:28:43, 00:23:D4:6A:22:09, GARBAGE, true
16:31:48, 00:23:D4:6A:22:09, GARBAGE, true
16:34:13, 00:23:D4:6A:22:09, GARBAGE, true
16:34:22, 00:23:D4:6A:22:09, GARBAGE, true
16:36:10, 00:23:D4:6A:22:09, GARBAGE, true
16:40:21, 00:23:D4:6A:22:09, GARBAGE, true
16:40:32, 00:23:D4:6A:22:09, GARBAGE, true
16:40:40, 00:23:D4:6A:22:09, GARBAGE, true
16:44:26, 00:23:D4:6A:22:09, 192.168.1.8, true
16:44:26, 00:23:D4:6A:22:09, GARBAGE IP, true
16:44:26, 00:23:D4:6A:22:09, GARBAGE IP, true
