16:34:57, 00:23:D4:69:79:1C, GARBAGE IP, true
16:34:57, 00:23:D4:69:79:1C, GARBAGE IP, true
16:34:57, 00:23:D4:69:79:1C, GARBAGE IP, true
16:35:03, 00:23:D4:69:79:1C, GARBAGE, true
16:35:07, 00:23:D4:69:79:1C, GARBAGE, true
16:41:53, 00:23:D4:69:79:1C, GARBAGE, true
16:46:23, 00:23:D4:69:79:1C, GARBAGE, true
16:49:35, 00:23:D4:69:79:1C, GARBAGE, true
16:52:45, 00:23:D4:69:79:1C, GARBAGE, true
16:58:31, 00:23:D4:69:79:1C, GARBAGE, true
17:01:35, 00:23:D4:69:79:1C, GARBAGE, true
17:05:57, 00:23:D4:69:79:1C, GARBAGE, true
17:09:08, 00:23:D4:69:79:1C, GARBAGE, true
17:18:58, 00:23:D4:69:79:1C, GARBAGE, true
17:22:11, 00:23:D4:69:79:1C, GARBAGE, true
17:27:43, 00:23:D4:69:79:1C, GARBAGE, true
17:32:21, 00:23:D4:69:79:1C, GARBAGE, true
17:33:57, 00:23:D4:69:79:1C, 192.168.1.12, true
17:33:57, 00:23:D4:69:79:1C, GARBAGE IP, true
17:33:57, 00:23:D4:69:79:1C, GARBAGE IP, true
17:33:57, 00:23:D4:69:79:1C, GARBAGE IP, true
17:33:57, 00:23:D4:69:79:1C, GARBAGE IP, true
17:37:42, 00:23:D4:69:79:1C, GARBAGE, true
17:37:52, 00:23:D4:69:79:1C, GARBAGE, true
17:41:38, 00:23:D4:69:79:1C, GARBAGE, true
17:46:09, 00:23:D4:69:79:1C, GARBAGE, true
17:47:51, 00:23:D4:69:79:1C, 192.168.1.12, true
17:47:51, 00:23:D4:69:79:1C, GARBAGE IP, true
17:47:51, 00:23:D4:69:79:1C, GARBAGE IP, true
17:47:51, 00:23:D4:69:79:1C, GARBAGE IP, true
17:47:51, 00:23:D4:69:79:1C, GARBAGE IP, true
17:50:54, 00:23:D4:69:79:1C, GARBAGE, true
17:51:09, 00:23:D4:69:79:1C, 192.168.1.2, true
17:52:33, 00:23:D4:69:79:1C, 192.168.1.2, true
17:53:57, 00:23:D4:69:79:1C, 192.168.1.2, true
17:54:08, 00:23:D4:69:79:1C, GARBAGE, true
17:57:22, 00:23:D4:69:79:1C, GARBAGE, true
18:03:07, 00:23:D4:69:79:1C, GARBAGE, true
18:06:13, 00:23:D4:69:79:1C, GARBAGE, true
18:10:40, 00:23:D4:69:79:1C, GARBAGE, true
18:13:58, 00:23:D4:69:79:1C, GARBAGE, true
18:19:42, 00:23:D4:69:79:1C, GARBAGE, true
18:22:41, 00:23:D4:69:79:1C, GARBAGE, true
18:27:12, 00:23:D4:69:79:1C, GARBAGE, true
18:30:32, 00:23:D4:69:79:1C, GARBAGE, true
18:33:36, 00:23:D4:69:79:1C, GARBAGE, true
