18:21:59, 00:23:D4:6A:E5:21, GARBAGE, true
18:29:25, 00:23:D4:6A:E5:21, GARBAGE, true
18:32:35, 00:23:D4:6A:E5:21, GARBAGE, true
18:35:19, 00:23:D4:6A:E5:21, GARBAGE, true
18:39:59, 00:23:D4:6A:E5:21, 192.168.1.2, true
18:40:41, 00:23:D4:6A:E5:21, 192.168.1.2, true
18:41:27, 00:23:D4:6A:E5:21, GARBAGE, true
18:45:57, 00:23:D4:6A:E5:21, GARBAGE, true
18:53:44, 00:23:D4:6A:E5:21, GARBAGE, true
18:57:06, 00:23:D4:6A:E5:21, GARBAGE, true
18:59:56, 00:23:D4:6A:E5:21, GARBAGE, true
19:07:33, 00:23:D4:6A:E5:21, GARBAGE, true
19:10:45, 00:23:D4:6A:E5:21, GARBAGE, true
19:13:50, 00:23:D4:6A:E5:21, GARBAGE, true
19:15:45, 00:23:D4:6A:E5:21, 192.168.1.2, true
19:21:39, 00:23:D4:6A:E5:21, GARBAGE, true
19:24:57, 00:23:D4:6A:E5:21, GARBAGE, true
19:28:05, 00:23:D4:6A:E5:21, GARBAGE, true
19:35:45, 00:23:D4:6A:E5:21, GARBAGE, true
19:41:57, 00:23:D4:6A:E5:21, GARBAGE, true
19:49:34, 00:23:D4:6A:E5:21, GARBAGE, true
19:55:55, 00:23:D4:6A:E5:21, GARBAGE, true
20:02:45, 00:23:D4:6A:E5:21, GARBAGE, true
20:03:15, 00:23:D4:6A:E5:21, GARBAGE, true
20:05:29, 00:23:D4:6A:E5:21, 192.168.1.8, true
20:05:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:05:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:05:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
20:06:10, 00:23:D4:6A:E5:21, GARBAGE, true
20:10:44, 00:23:D4:6A:E5:21, GARBAGE, true
20:18:40, 00:23:D4:6A:E5:21, GARBAGE, true
20:21:58, 00:23:D4:6A:E5:21, GARBAGE, true
20:28:19, 00:23:D4:6A:E5:21, GARBAGE, true
20:31:19, 00:23:D4:6A:E5:21, GARBAGE, true
20:35:44, 00:23:D4:6A:E5:21, GARBAGE, true
20:39:00, 00:23:D4:6A:E5:21, GARBAGE, true
20:45:18, 00:23:D4:6A:E5:21, GARBAGE, true
20:49:44, 00:23:D4:6A:E5:21, GARBAGE, true
20:56:05, 00:23:D4:6A:E5:21, GARBAGE, true
21:00:27, 00:23:D4:6A:E5:21, GARBAGE, true
21:03:44, 00:23:D4:6A:E5:21, GARBAGE, true
