21:22:34, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:23:16, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:23:55, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:23:55, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:23:56, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:23:57, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:24:39, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:25:19, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:25:21, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:25:23, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:25:23, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:26:01, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:26:02, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:26:05, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:26:05, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:26:43, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:26:44, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:26:47, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:26:47, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:27:26, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:28:08, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:28:49, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:29:31, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:30:54, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:30:56, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:31:36, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:34:26, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:34:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:35:49, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:35:49, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:36:34, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:37:56, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:37:58, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:38:38, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:38:39, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:40:03, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:40:44, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:40:44, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:42:09, 00:23:D4:6A:87:DE, 192.168.1.19, true
21:42:09, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:42:50, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:43:31, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:44:13, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:44:55, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:44:55, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:45:36, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:46:18, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:47:00, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:48:23, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:48:25, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:49:05, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:49:08, 00:23:D4:6A:87:DE, 192.168.1.15, true
21:49:08, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:49:46, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:49:49, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:49:50, 00:23:D4:6A:87:DE, 192.168.1.15, true
21:49:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:51:55, 00:23:D4:6A:87:DE, 192.168.1.15, true
21:51:55, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:54:42, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:55:24, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:56:46, 00:23:D4:6A:87:DE, 192.168.1.19, true
21:56:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:56:48, 00:23:D4:6A:87:DE, 192.168.1.12, true
21:56:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:58:54, 00:23:D4:6A:87:DE, 192.168.1.12, true
21:58:54, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:59:36, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:02:24, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:03:48, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:04:30, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:07:17, 00:23:D4:6A:87:DE, 192.168.1.15, true
22:07:17, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:07:17, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:08:40, 00:23:D4:6A:87:DE, 192.168.1.15, true
22:08:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:08:41, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:09:23, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:10:05, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:10:48, 00:23:D4:6A:87:DE, 192.168.1.16, true
22:10:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:11:32, 00:23:D4:6A:87:DE, 192.168.1.13, true
22:11:32, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:12:54, 00:23:D4:6A:87:DE, 192.168.1.16, true
22:12:54, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:12:55, 00:23:D4:6A:87:DE, 192.168.1.13, true
22:12:55, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:13:35, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:14:17, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:17:46, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:18:28, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:23:24, 00:23:D4:6A:87:DE, 192.168.1.12, true
22:23:24, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:24:03, 00:23:D4:6A:87:DE, 192.168.1.2, false
22:24:06, 00:23:D4:6A:87:DE, 192.168.1.12, true
22:24:06, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:24:47, 00:23:D4:6A:87:DE, 192.168.1.19, true
22:24:47, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:24:48, 00:23:D4:6A:87:DE, 192.168.1.12, true
22:24:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:27:34, 00:23:D4:6A:87:DE, 192.168.1.15, true
22:27:34, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:28:16, 00:23:D4:6A:87:DE, 192.168.1.15, true
22:28:16, 00:23:D4:6A:87:DE, GARBAGE IP, true
22:29:40, 00:23:D4:6A:87:DE, 192.168.1.15, true
22:29:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
