22:31:38, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:34:26, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:36:32, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:37:14, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:37:54, 00:23:D4:6A:BF:DE, 192.168.1.14, true
22:37:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:37:56, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:38:38, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:39:20, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:42:50, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:43:32, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:44:14, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:46:20, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:47:01, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:47:43, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:48:25, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:51:13, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:52:35, 00:23:D4:6A:BF:DE, 192.168.1.13, true
22:52:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:52:37, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:53:19, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:54:00, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:56:06, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:57:30, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:57:31, 00:23:D4:6A:BF:DE, 192.168.1.14, true
22:57:31, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:58:54, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:01:00, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:01:41, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:02:23, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:03:47, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:06:34, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:07:16, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:07:58, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:07:59, 00:23:D4:6A:BF:DE, 192.168.1.19, true
23:07:59, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:08:40, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:09:22, 00:23:D4:6A:BF:DE, 192.168.1.19, true
23:09:22, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:13:33, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:14:13, 00:23:D4:6A:BF:DE, 192.168.1.14, true
23:14:13, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:17:01, 00:23:D4:6A:BF:DE, 192.168.1.14, true
23:17:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:17:02, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:17:44, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:18:26, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:19:10, 00:23:D4:6A:BF:DE, 192.168.1.13, true
23:19:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:21:54, 00:23:D4:6A:BF:DE, 192.168.1.16, true
23:21:54, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:21:55, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:23:18, 00:23:D4:6A:BF:DE, 192.168.1.16, true
23:23:18, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:24:00, 00:23:D4:6A:BF:DE, 192.168.1.16, true
23:24:00, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:26:07, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:26:52, 00:23:D4:6A:BF:DE, 192.168.1.4, false
23:27:31, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:28:12, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:30:18, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:31:00, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:31:42, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:32:24, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:33:06, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:33:06, 00:23:D4:6A:BF:DE, 192.168.1.5, false
23:33:07, 00:23:D4:6A:BF:DE, 192.168.1.4, false
23:33:48, 00:23:D4:6A:BF:DE, 192.168.1.5, false
23:34:29, 00:23:D4:6A:BF:DE, 192.168.1.5, false
23:34:33, 00:23:D4:6A:BF:DE, 192.168.1.19, true
23:34:33, 00:23:D4:6A:BF:DE, GARBAGE IP, true
23:35:11, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:36:35, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:36:35, 00:23:D4:6A:BF:DE, 192.168.1.5, false
23:37:17, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:37:17, 00:23:D4:6A:BF:DE, 192.168.1.5, false
23:37:59, 00:23:D4:6A:BF:DE, 192.168.1.1, false
23:37:59, 00:23:D4:6A:BF:DE, 192.168.1.5, false
23:38:02, 00:23:D4:6A:BF:DE, 192.168.1.19, true
