11:18:25, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:19:10, 00:23:D4:6A:BF:DE, 192.168.1.12, true
11:19:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:19:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:19:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:19:11, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:23:43, 00:23:D4:6A:BF:DE, GARBAGE, true
11:27:01, 00:23:D4:6A:BF:DE, GARBAGE, true
11:27:18, 00:23:D4:6A:BF:DE, GARBAGE, true
11:29:11, 00:23:D4:6A:BF:DE, GARBAGE, true
11:33:08, 00:23:D4:6A:BF:DE, GARBAGE, true
11:39:14, 00:23:D4:6A:BF:DE, 192.168.1.9, true
11:39:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:16, 00:23:D4:6A:BF:DE, 192.168.1.5, true
11:39:16, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:56, 00:23:D4:6A:BF:DE, 192.168.1.9, true
11:39:56, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:56, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:56, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:39:56, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:40:01, 00:23:D4:6A:BF:DE, 192.168.1.5, true
11:40:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:40:38, 00:23:D4:6A:BF:DE, 192.168.1.9, true
11:40:38, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:40:38, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:40:38, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:40:38, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:40:41, 00:23:D4:6A:BF:DE, 192.168.1.5, true
11:40:41, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:41:20, 00:23:D4:6A:BF:DE, 192.168.1.9, true
11:41:20, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:41:20, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:41:20, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:41:20, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:42:26, 00:23:D4:6A:BF:DE, GARBAGE, true
11:45:46, 00:23:D4:6A:BF:DE, GARBAGE, true
11:52:07, 00:23:D4:6A:BF:DE, GARBAGE, true
11:56:11, 00:23:D4:6A:BF:DE, GARBAGE, true
11:58:31, 00:23:D4:6A:BF:DE, GARBAGE, true
12:02:57, 00:23:D4:6A:BF:DE, GARBAGE, true
12:04:10, 00:23:D4:6A:BF:DE, GARBAGE, true
12:06:00, 00:23:D4:6A:BF:DE, GARBAGE, true
12:09:04, 00:23:D4:6A:BF:DE, GARBAGE, true
12:11:23, 00:23:D4:6A:BF:DE, 192.168.1.8, true
12:11:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:11:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:11:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:11:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:12:05, 00:23:D4:6A:BF:DE, 192.168.1.8, true
12:12:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:12:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:12:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:12:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:13:28, 00:23:D4:6A:BF:DE, 192.168.1.4, true
12:13:28, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:13:29, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:19:03, 00:23:D4:6A:BF:DE, GARBAGE, true
12:21:00, 00:23:D4:6A:BF:DE, 192.168.1.7, true
12:21:00, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:21:00, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:21:00, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:21:00, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:21:42, 00:23:D4:6A:BF:DE, 192.168.1.7, true
12:21:42, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:21:42, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:21:42, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:21:42, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:22:24, 00:23:D4:6A:BF:DE, 192.168.1.7, true
12:22:24, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:22:24, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:22:24, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:22:24, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:22:30, 00:23:D4:6A:BF:DE, GARBAGE, true
12:29:01, 00:23:D4:6A:BF:DE, GARBAGE, true
12:35:05, 00:23:D4:6A:BF:DE, 192.168.1.5, true
12:35:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:35:05, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:35:45, 00:23:D4:6A:BF:DE, 192.168.1.5, true
12:35:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:35:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:36:30, 00:23:D4:6A:BF:DE, 192.168.1.5, true
12:36:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:36:30, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:41:37, 00:23:D4:6A:BF:DE, GARBAGE, true
12:43:32, 00:23:D4:6A:BF:DE, GARBAGE, true
12:44:19, 00:23:D4:6A:BF:DE, 192.168.1.2, true
12:44:19, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:44:19, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:44:19, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:44:19, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:45:01, 00:23:D4:6A:BF:DE, 192.168.1.2, true
12:45:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:45:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:45:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:45:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:48:10, 00:23:D4:6A:BF:DE, 192.168.1.9, true
12:48:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:48:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:48:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:48:10, 00:23:D4:6A:BF:DE, GARBAGE IP, true
12:49:06, 00:23:D4:6A:BF:DE, GARBAGE, true
12:54:28, 00:23:D4:6A:BF:DE, GARBAGE, true
12:55:17, 00:23:D4:6A:BF:DE, GARBAGE, true
13:04:41, 00:23:D4:6A:BF:DE, GARBAGE, true
13:09:43, 00:23:D4:6A:BF:DE, GARBAGE, true
13:20:49, 00:23:D4:6A:BF:DE, GARBAGE, true
