10:26:39, 00:23:D4:69:79:1C, 192.168.1.6, true
10:26:39, 00:23:D4:69:79:1C, GARBAGE IP, true
10:26:39, 00:23:D4:69:79:1C, GARBAGE IP, true
10:26:39, 00:23:D4:69:79:1C, GARBAGE IP, true
10:26:40, 00:23:D4:69:79:1C, 192.168.1.5, true
10:26:40, 00:23:D4:69:79:1C, GARBAGE IP, true
10:26:40, 00:23:D4:69:79:1C, GARBAGE IP, true
10:26:40, 00:23:D4:69:79:1C, GARBAGE IP, true
10:28:31, 00:23:D4:69:79:1C, GARBAGE, true
10:33:20, 00:23:D4:69:79:1C, GARBAGE, true
10:37:45, 00:23:D4:69:79:1C, GARBAGE, true
10:42:17, 00:23:D4:69:79:1C, 192.168.1.9, true
10:42:17, 00:23:D4:69:79:1C, GARBAGE IP, true
10:42:17, 00:23:D4:69:79:1C, GARBAGE IP, true
10:42:17, 00:23:D4:69:79:1C, GARBAGE IP, true
10:42:59, 00:23:D4:69:79:1C, 192.168.1.9, true
10:42:59, 00:23:D4:69:79:1C, GARBAGE IP, true
10:42:59, 00:23:D4:69:79:1C, GARBAGE IP, true
10:42:59, 00:23:D4:69:79:1C, GARBAGE IP, true
10:43:40, 00:23:D4:69:79:1C, 192.168.1.9, true
10:43:40, 00:23:D4:69:79:1C, GARBAGE IP, true
10:43:40, 00:23:D4:69:79:1C, GARBAGE IP, true
10:43:40, 00:23:D4:69:79:1C, GARBAGE IP, true
10:44:39, 00:23:D4:69:79:1C, GARBAGE, true
10:46:51, 00:23:D4:69:79:1C, 192.168.1.6, true
10:46:51, 00:23:D4:69:79:1C, GARBAGE IP, true
10:46:52, 00:23:D4:69:79:1C, GARBAGE IP, true
10:46:52, 00:23:D4:69:79:1C, GARBAGE IP, true
