18:27:19, 00:23:D4:6A:A4:E2, 192.168.1.12, true
18:27:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:27:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:27:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:27:20, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:01, 00:23:D4:6A:A4:E2, 192.168.1.12, true
18:28:01, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:02, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:02, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:02, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:19, 00:23:D4:6A:A4:E2, 192.168.1.9, true
18:28:19, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:19, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:19, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:28:19, 00:23:D4:6A:A4:E2, GARBAGE IP, true
19:22:22, 00:23:D4:6A:A4:E2, 192.168.1.11, true
19:22:22, 00:23:D4:6A:A4:E2, GARBAGE IP, true
19:22:22, 00:23:D4:6A:A4:E2, GARBAGE IP, true
19:22:22, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:52:48, 00:23:D4:6A:A4:E2, 192.168.1.11, true
21:52:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:52:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:52:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:53:31, 00:23:D4:6A:A4:E2, 192.168.1.11, true
21:53:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:53:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
21:53:31, 00:23:D4:6A:A4:E2, GARBAGE IP, true
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
10:35:13 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:35:21, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 1
10:35:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 2
10:35:23, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth discovery, true, fresh, 3
10:37:01, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth_network, true, old, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
10:44:28 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:44:34, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth discovery, true, fresh, 1
10:44:36, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 2
10:44:36, 00:23:D4:6A:A4:E2, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 3
10:44:42, 00:23:D4:6A:A4:E2, 00:23:D4:6A:BB:92, phone, 192.168.1.5, wifi_network, true, old, 3
10:49:46, 00:23:D4:6A:A4:E2, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth_network, true, old, 3
10:49:47, 00:23:D4:6A:A4:E2, 00:23:D4:6A:22:09, zxc, GARBAGE, bluetooth_network, true, old, 3
